Class,Number Samples
m.01kspqb,85
m.01jscz,86
m.016kqk,70
m.01jzl98,56
m.01_pb_,91
m.01drbr,59
m.01lmws4,99
m.01fj73,82
m.01cj42,78
m.01jqlz1,58
m.01msm8,118
m.01kmxc,60
m.015dvx,60
m.01ksvq4,50
m.01bxy0,64
m.01l1sq,112
m.015ds1,80
m.0127zt,109
m.011_c4,88
m.01ckvz,75
m.014sbz,112
m.01jfvq,52
m.01_768,104
m.01bm5h,70
m.01l4syf,87
m.01m1dzc,76
m.01krs,98
m.018jz8,55
m.01l0gq,65
m.0134lc,17
m.01k0fg,71
m.01l3mw,54
m.01f63_,92
m.01kgh3,84
m.01lrs3h,39
m.016hmf,92
m.015_3s,24
m.015grj,107
m.012t1d,106
m.0129pl,71
m.01cy4k,73
m.01fhy1,78
m.01jy9rb,110
m.015d2r,88
m.019l0h,42
m.015_n2,40
m.01jzjsm,57
m.0171cm,76
m.01lvgb6,98
m.01cxy_,82
m.01k13c,69
m.012ch6,33
m.018hf7,93
m.01fgtp,86
m.011rprn6,115
m.01_jmz,47
m.0131w4,104
m.01bfxq,93
m.01l9w8q,74
m.01ky20w,64
m.01cty4,26
m.01k84w,108
m.018zm2,102
m.019bsx,110
m.01cjn9,43
m.016m3r,111
m.01b31c,57
m.01m4yn,131
m.017fzy,87
m.0161p9,82
m.01bz9g,83
m.01_rh4,98
m.01m3cwg,95
m.01jxzt,85
m.01k2twb,43
m.015p_p,75
m.015pjw,70
m.01csb_,118
m.01b9s1,67
m.0178tj,81
m.019l9q,90
m.014rpb,100
m.01_7ps,53
m.015rbw,54
m.01b0fq,55
m.01693z,52
m.01lz3m2,98
m.01mq523,63
m.014ww_,12
m.01h0gg,78
m.012kxp,102
m.01frrf,97
m.01f8tn,32
m.011w20,60
m.01f309,93
m.0168ql,102
m.01cdm0,80
m.01fx9z,91
m.01ccr8,119
m.014c0y,67
m.01m7ls7,83
m.015gzc,103
m.01m298x,88
m.01cbjz,113
m.018fq,82
m.015qyf,80
m.01dtw8,25
m.01ghwj,79
m.019r_1,60
m.0151w_,116
m.01_mkg,76
m.017hhq,68
m.0122m5,76
m.01hclz,86
m.01_1ym,95
m.014zyp,92
m.01kt6mr,71
m.01dh0j,113
m.01gqzg,78
m.01l9v7n,88
m.016nvh,97
m.013qp3,114
m.01f9nl,6
m.0158r2,107
m.01kwn0j,79
m.015lzh,65
m.019sqz,48
m.01mfqz6,53
m.01bgd7,14
m.01fq41,85
m.018pyg,121
m.01fp68,43
m.01bbby,60
m.01dh1c,60
m.01lgg3s,52
m.01bq8d,73
m.01l03q,78
m.01gj2x,63
m.01_ly4,123
m.01mlzdt,83
m.015qc1,121
m.01bj6y,103
m.01k3drv,50
m.01mhkyv,51
m.017_65,93
m.01cpqk,103
m.015f6_,85
m.01lqpnd,46
m.01cl9d,98
m.01kl_lv,112
m.01ljq2,49
m.01hy3g,119
m.01mqgf,126
m.01mg74d,30
m.016dbr,83
m.01cr7j,68
m.014ts2,58
m.0138y7,93
m.01_xm2,129
m.013_tp,39
m.0141fq,106
m.01khqb,54
m.01241v,98
m.015dcj,103
m.01lvxhv,75
m.01f2n_,93
m.016j2b,65
m.01hkc4,35
m.01lx8z9,113
m.016khd,109
m.018gjh,10
m.01d69t,44
m.017lcg,104
m.01jty2,82
m.01d688,87
m.01m0y3q,77
m.0129wb,40
m.01kbc1,199
m.01m0c3q,88
m.012j9c,86
m.01762z,89
m.01l5wz,45
m.018r3g,80
m.015zkd,38
m.016zvk,125
m.014jz,96
m.018t6m,81
m.019xsq,95
m.01l793,118
m.01m4d43,87
m.01_2sz,30
m.018lxn,95
m.01l72d6,122
m.013bym,109
m.014j23,42
m.0164c4,107
m.01gtzn,9
m.01hdmf,66
m.01m__tj,78
m.01jkyd,108
m.01mlmtw,95
m.01b2n_,20
m.01k_7d0,80
m.012gq6,101
m.01fbyp,52
m.0109kg,41
m.014cq,86
m.01_nxq,60
m.015wfg,97
m.01kz8s,38
m.01kj1n6,79
m.0194h7,26
m.01mbfd9,83
m.01jh00t,81
m.01h7zl,93
m.012lrh,80
m.012xdf,102
m.01ml_c6,50
m.01k4jhm,61
m.015f7,120
m.01mkn_d,83
m.017l7y,99
m.01bl01,77
m.011xgp,79
m.01k5t_3,90
m.01fhzf,72
m.01_w28,77
m.01kzpvx,87
m.01bczm,116
m.0125mr,127
m.01_7w4,88
m.01d30x,101
m.01k9lrv,76
m.016hgp,90
m.01btzc,27
m.016fnb,105
m.01b1kw,74
m.013rds,95
m.01jnfbn,56
m.018p44,79
m.014qv7,107
m.014gsd,93
m.01gft0,108
m.016vy9,110
m.01cblc,106
m.01l5myq,81
m.01kjk4,26
m.01831s,106
m.01ljmff,52
m.01bjdd,105
m.015m1z,56
m.01mq97_,99
m.01mdsgz,74
m.01b2yy,49
m.012j9q,100
m.013yd0,96
m.01dqj6,78
m.01bp17,55
m.01m_5qp,2
m.01kg0r,73
m.01h4j6,49
m.012lv3,113
m.01m7pwq,69
m.01j9_1,84
m.012zh1,82
m.01czfw,103
m.012_jj,96
m.01g00c,116
m.01d190,29
m.01flf5,69
m.01kmwy,99
m.0138qp,61
m.01jsz8,92
m.01l8vs,50
m.01gq3p,74
m.01ldgd6,58
m.01_p15,105
m.01m0_63,87
m.0138zs,56
m.01m_12,59
m.01jrbc1,94
m.013_vh,124
m.01lmlrv,74
m.01b510,94
m.01mh8zn,74
m.01d494,73
m.012r36,27
m.01lt5yg,81
m.017flm,92
m.01jfvc,95
m.019ty9,97
m.01mj0sr,63
m.01mhvx1,94
m.01lpbcd,69
m.01cwk9,107
m.01hw6wq,91
m.01kk_s6,83
m.019mfn,74
m.012267,101
m.01_ztw,110
m.01l5v2,58
m.015xhx,9
m.01l8rd,67
m.01jpwfr,60
m.018zdn,42
m.01gz7v,20
m.01msy0s,71
m.01ftjx,101
m.01l42w,104
m.01g6f5,101
m.01gf5h,89
m.01f4d3,63
m.011k4g,24
m.01f6zc,91
m.01grhk,92
m.0175m_,103
m.01hd31,94
m.01kpb3f,62
m.011zd3,111
m.019l86,57
m.01lmw1x,55
m.01ml_2g,84
m.01fg_t,85
m.014pyb,44
m.01ldl8,92
m.01djv5,100
m.01d401,67
m.018tfd,97
m.01bt8r,88
m.01hzxy,33
m.01g4bk,93
m.014byr,83
m.01k5tvx,76
m.01fh8r,93
m.01d67g,32
m.0169ff,84
m.016k58,74
m.0199pk,110
m.01grww,38
m.016ghw,86
m.01j9g6,70
m.01_hnd,71
m.0191zc,22
m.0141jx,31
m.01k0rxm,50
m.01cy1c,97
m.012s9f,100
m.01lf80n,89
m.01lsdlr,70
m.01l4tnh,80
m.01778_,54
m.01lcf4w,95
m.01cm_n,33
m.01kj0p,109
m.01jckl,78
m.01k2vhd,66
m.01b528,92
m.01h0st,88
m.011y5k,54
m.019g40,90
m.01d1yr,94
m.012c6x,89
m.01mjy04,91
m.018hyr,10
m.01msrs,96
m.01mh28r,85
m.01f5b4,44
m.0135lv,24
m.0163l9,96
m.01h8ph,87
m.01lyc_,75
m.01kcw4,32
m.01mc3y,101
m.01678_,20
m.01_j71,130
m.01j_njt,60
m.01d580,114
m.0177q6,20
m.01k70_,122
m.014vtj,109
m.01721f,87
m.01fhnm,99
m.01mc3g1,97
m.01h0_w,120
m.01jgrjn,89
m.01lykw,91
m.0191kx,121
m.017yrh,95
m.01d4t0,29
m.01mqnr,99
m.0196wv,26
m.017dzj,44
m.01_f_5,117
m.01_p6t,109
m.0166w_,105
m.01l34zv,71
m.01k5kd,23
m.01lmcg,62
m.01jszt8,28
m.01mm7j9,100
m.01kpv04,43
m.014scr,84
m.01l4x2,69
m.01l2v7q,63
m.01gy1l,91
m.01gq_9,72
m.01kchk,62
m.01m8cgc,63
m.01cp7h,102
m.01kmxnz,77
m.01mjyj0,42
m.01d75g,71
m.01kfm7,90
m.01mb47s,112
m.01b1jr,82
m.0175wg,105
m.01lpl_g,85
m.01gv_f,107
m.018hwl,73
m.01mr3v_,57
m.016gj9,107
m.01dyyw,89
m.01m4r9w,19
m.01bmxj,76
m.01c9j8,91
m.01mbjwt,78
m.01m4rnj,65
m.011xll,47
m.0146fs,41
m.015y0s,22
m.018bt,8
m.01_w64,74
m.01lypl7,74
m.01_hs9,75
m.01k29sf,90
m.01b3vh,71
m.011qh,49
m.01lcmt,8
m.01f_z_,75
m.01cp71,93
m.01lff7,73
m.01lv4nd,36
m.014cg0,88
m.011h2_,74
m.01flb2,97
m.011_2h,81
m.018h76,78
m.01k9gbd,70
m.01fv0x,102
m.011xjd,74
m.01l_nxf,77
m.01fs38,37
m.01m0cg,20
m.01g07p,40
m.01lf8p7,90
m.016qtt,100
m.013zjz,89
m.01gvrf,95
m.018mts,101
m.01jrs46,70
m.016vyp,90
m.01k3qj,90
m.01mfxzq,72
m.01bywv,81
m.018350,77
m.01msnvp,53
m.01h1w_,80
m.01c1n5,108
m.01j50k,103
m.01mmhdr,70
m.01jjnl,106
m.01m29sh,87
m.01fnkt,95
m.019h1v,23
m.01htj6,80
m.01cfp8,97
m.0163y8,52
m.01hfv2,73
m.01kpcl,73
m.01637n,87
m.01jbrt,81
m.016bxh,95
m.0139rh,69
m.018xyj,89
m.01k5tg,99
m.01m8g__,91
m.01h448,116
m.01m53tl,86
m.01lnknt,63
m.012rng,65
m.01j89fn,85
m.016ywr,110
m.01_1cm,86
m.017x69,71
m.01mq3l3,38
m.016nrn,71
m.0142fb,68
m.013bd1,97
m.018z54,92
m.01bcvr,86
m.018m1s,38
m.01_rj3,82
m.01c2_j,99
m.012l22,97
m.01fvfn,80
m.01kmd4,95
m.012034,83
m.01kyn0,105
m.01hk74,23
m.01ctm2,68
m.01br1k,87
m.01d1st,109
m.01k3dtv,76
m.0155zp,97
m.01jrvr6,103
m.01lkv4c,43
m.01hkg9,56
m.01mr2g6,86
m.01hkx5,71
m.01k4414,80
m.01kwqcm,77
m.01m54f8,72
m.01jqr4y,61
m.017_pb,88
m.01f6g3,109
m.0149xx,74
m.015x10,85
m.018t1b,79
m.01mk2c3,115
m.01gvxv,95
m.01kzy3,108
m.015y4c,86
m.01lw3kh,103
m.01gdq0,89
m.01_5_9,91
m.01618n,88
m.01kklt,74
m.01mgqjs,77
m.01m1d8,71
m.01jcg5,121
m.012hr4,80
m.01k1gg1,44
m.01kx43w,69
m.019cn_,117
m.01d9v5,81
m.01gdlz,87
m.01b8nj,103
m.014dg1,120
m.011hjj,100
m.01gk4c,96
m.01mk2vy,64
m.016t7l,49
m.01mfsbr,94
m.01gvwr,105
m.01_x4x,95
m.014k2p,89
m.01kdh8,60
m.01lghqz,100
m.015ql_,102
m.01blnw,96
m.01j3ky,85
m.01kcgj,55
m.01bmh3,101
m.01bhb2,90
m.016wvy,87
m.01hfn6,94
m.01bpn,102
m.016sz1,118
m.01krzl,114
m.01_ckp,15
m.01jmzyr,56
m.01l5d0j,87
m.01jtq1_,84
m.011_8,99
m.01_906,53
m.01l837,106
m.0126nx,28
m.01dnmp,93
m.01mgyt0,87
m.018g5b,59
m.015dgg,91
m.01b9z4,99
m.014cw2,92
m.012m4n,27
m.012t7s,80
m.01lgjq5,93
m.01g6v_,42
m.013823,82
m.01l1v5n,109
m.01hhcj,59
m.01k_9z,36
m.016r3x,115
m.014n94,101
m.01__cj,105
m.01bl2d,88
m.011w7m,77
m.01ml44x,59
m.01l35sx,38
m.018fkc,72
m.01dcdz,74
m.01_lt8,66
m.01hlvhq,43
m.011m1y,116
m.018yj6,106
m.019kc,84
m.011h_w,81
m.0144vn,39
m.014sn2,96
m.01c_mk,80
m.015zdc,74
m.018pj3,98
m.01_rb7,52
m.015nvj,85
m.01czvz,94
m.01l_v5,95
m.018y2s,106
m.01fdc0,100
m.011xr,45
m.01k5wsd,51
m.019s7b,82
m.01mn0ms,72
m.01lptb,73
m.011z4p,5
m.01cxk4,73
m.01m716q,96
m.01lk9q,33
m.012f1d,98
m.014g8p,98
m.01hchr,64
m.01jlfv,72
m.012wbf,50
m.01dg_t,19
m.01g140,74
m.01dsgp,98
m.01_z45,103
m.01bd1t,89
m.01kl_q,99
m.01gqws,103
m.019xk_,89
m.018009,114
m.01hkr,82
m.01m3mjj,85
m.01_8sg,108
m.01hgdn,103
m.01d6vj,34
m.01_gbv,79
m.01jj8q,82
m.01m_dv,95
m.01msqk,97
m.01knvv,21
m.01dzl3,89
m.014jy6,103
m.017q3j,84
m.01kkgn,79
m.01hvsd,74
m.01ks0v,32
m.012mh_,79
m.01jw0x,104
m.012t3l,50
m.0162n1,82
m.01cnfd,38
m.01bq46,101
m.018lp7,105
m.0130py,94
m.01l_nh,68
m.01lsq2k,69
m.01db19,38
m.018l4f,82
m.01gw0m,89
m.01fwty,26
m.0181y2,89
m.01hrpm,113
m.01f47b,70
m.01mjdxt,111
m.01kws3,70
m.010g87,98
m.01mh9_m,86
m.019k2w,103
m.01jvs4,96
m.01jnt_,115
m.01lb8z,91
m.017yfz,69
m.017n41,84
m.01m4x2l,79
m.01ghyw,118
m.01jtkv,99
m.017x_s,40
m.016hms,49
m.0126_6,97
m.01kxh1d,100
m.016p65,94
m.01dkpb,86
m.01kvqc,90
m.01dfd4,54
m.01g25r,91
m.01bhq8,99
m.01hz88,12
m.01mgtn4,69
m.01ggbx,97
m.01mp1vs,92
m.016db7,76
m.01lh51,77
m.012ng2,76
m.01f4zn,74
m.014x8j,62
m.019qb8,51
m.01llxc4,79
m.01l1ff3,102
m.01k7yzy,83
m.01kp3z,112
m.01mjcn4,85
m.012_53,115
m.01k8f20,98
m.01c02,87
m.019hc4,44
m.017115,75
m.016htr,69
m.0125zt,9
m.01l6nb,118
m.01jj6h,66
m.01jpxvz,64
m.016swh,70
m.015c2f,126
m.01_nhf,101
m.01j7081,66
m.01dbhb,95
m.01b1kg,65
m.016mbz,94
m.018qlp,107
m.01kbds_,77
m.01jl_g,54
m.01jqwf,104
m.0181j_,107
m.01_vxd,46
m.01c527,53
m.016qlc,20
m.01lx5b,101
m.01cspq,75
m.01lnvrj,67
m.012cph,69
m.01mp1cd,73
m.0188lg,21
m.019nfb,67
m.01cpwc,39
m.01710v,53
m.01bl72,87
m.01g3ss,84
m.017r13,103
m.015_44,89
m.01_8vb,55
m.01j8z_,105
m.01bcz7,91
m.01k1prk,73
m.018qr9,106
m.01m91d3,88
m.015t7v,52
m.01cfs_,104
m.01fpdw,41
m.01l8_n,78
m.01fwcj,77
m.01fjld,105
m.0136pk,107
m.01gx1c,93
m.01lnd8w,95
m.01728m,102
m.01jxsz,36
m.019ckb,55
m.01lmy5,57
m.0172t3,15
m.016k6x,109
m.01mkb8w,94
m.0154ff,94
m.012cyp,96
m.01kyfs,98
m.01k323t,83
m.01bwpz,91
m.01lqfxg,46
m.012s1x,89
m.017m44,32
m.01_xtx,108
m.017nt,98
m.01f3nh,83
m.01j_rn4,61
m.01h8l0,34
m.01k8mzv,91
m.01mfh8z,79
m.01m4qnk,82
m.015bhj,78
m.01lbwgr,61
m.014b_c,88
m.01bvvc,58
m.01ln9k5,56
m.01cb95,94
m.01389w,74
m.01m0mgp,5
m.01bz20,68
m.01k7k38,76
m.011sb5,98
m.01ggms,88
m.011jfg,126
m.01jmr0,97
m.01mks5b,91
m.01mn70j,77
m.01l9w5,76
m.012vk4,110
m.013qjp,90
m.01dr96,89
m.015czg,47
m.019wbx,89
m.01fvm2,101
m.017yzt,111
m.014936,110
m.01lxh7,127
m.01jj3s,71
m.01lknfz,70
m.0190r3,111
m.01mf2hr,63
m.01jln,86
m.01f0bm,91
m.0132k4,82
m.017fg7,61
m.01kz_yr,86
m.0166z2,71
m.01g4vc,60
m.014x2j,62
m.0157m,100
m.011t6,61
m.016mm_,88
m.01brnt,81
m.01m2jjj,82
m.015wkb,86
m.018f5m,60
m.01k91k,86
m.01k6nm,82
m.01m_7w,82
m.01jwlw,52
m.01jr5w,52
m.01lprmf,87
m.015y98,80
m.015076,105
m.012gbb,106
m.016bxy,94
m.019f62,75
m.01m63gj,96
m.016j74,79
m.011s_x,48
m.01b4jb,99
m.01hzx6,45
m.01l87db,102
m.01fx79,94
m.01jhtj,101
m.018m5c,96
m.01lb7q8,72
m.01385g,100
m.013ps,34
m.012kl9,12
m.015bvl,102
m.01_vwx,111
m.01d67x,85
m.015brk,56
m.01fh9,100
m.01mmt__,59
m.01lmc66,83
m.018wh0,75
m.01gz9n,114
m.01gvz3,83
m.01bgrn,81
m.01hfnk,101
m.01hnjc,88
m.014xzx,108
m.019gz,94
m.01l4vj,108
m.01mh9ks,43
m.01bl67,96
m.0173p_,105
m.01939y,87
m.017fl_,62
m.01kq6y,77
m.01f097,88
m.01mq7_r,78
m.01lcrp,35
m.012cm5,38
m.01hsw4,97
m.01hbds,100
m.01jtpmd,94
m.01m2q8d,96
m.01lsq_,95
m.0191y8,98
m.01_vfy,77
m.01m40k5,23
m.01msmn,101
m.019qv6,96
m.01552j,124
m.01hh84,74
m.010ngb,110
m.0198c0,100
m.01k1g_d,24
m.01_08w,97
m.015dnt,88
m.01lqnff,108
m.01m4h0,67
m.018gkb,80
m.0153v9,98
m.01k4f7,77
m.01kbqy,68
m.01_8rq,111
m.017j0_,62
m.01l26k3,16
m.0150mg,95
m.01jzhl,98
m.017rpy,45
m.01hs26,93
m.01d0fp,110
m.01hxkc,54
m.01dzvn,105
m.016m8t,117
m.01m7gg1,105
m.012ljv,92
m.01k7lw,96
m.01h8lg,91
m.01gm43,86
m.01c6dg,71
m.01_4gp,104
m.012y87,118
m.01kzrcw,70
m.016cdn,95
m.01gr0d,104
m.019bw9,125
m.01k31p,82
m.015zm,41
m.01598m,132
m.018t67,100
m.016t28,20
m.0144k5,106
m.01dvtx,44
m.015tv5,67
m.019y64,107
m.013qpt,96
m.01m960s,97
m.015gx1,77
m.01_k0d,87
m.01k_21r,37
m.01c806,43
m.01ljgjl,64
m.01jsjr,83
m.01_pcr,92
m.01mqjw4,56
m.01mmhq7,91
m.0179ys,53
m.018mfl,65
m.0166zk,87
m.01lszsz,109
m.01k0z1,107
m.014bz_,93
m.01djk0,44
m.01kd7n_,1
m.01k47c,51
m.012kfy,1
m.019s7r,99
m.01ln2b,26
m.015j58,88
m.018sh5,73
m.0167xk,99
m.013s6x,87
m.0147qz,62
m.01845d,79
m.01gtdr,86
m.01fmcd,86
m.01h910,114
m.01l3qrd,85
m.019jv6,57
m.012mmb,102
m.01l8gps,83
m.01dzmb,89
m.01gqyr,51
m.0162c8,107
m.01mmdx9,100
m.01ctnp,98
m.01fs4v,106
m.01hcbh,67
m.01_x6d,97
m.01fqqp,87
m.016bry,48
m.01l9db9,100
m.0144l1,98
m.016m0v,96
m.0125fd,114
m.01fc08,9
m.01chqh,48
m.01hn9q,60
m.019m90,70
m.01h40z,101
m.013qq4,78
m.01fx2g,120
m.016194,58
m.01_1r7,92
m.018qn8,89
m.01m3cf,61
m.01mjd46,99
m.011_nf,92
m.01mn_y9,107
m.01h11m,87
m.01_jm7,98
m.0135wz,65
m.01dv42,42
m.014x21,86
m.01lvpwg,98
m.019mxd,69
m.01jx7s,58
m.01gkkm,67
m.014_1g,91
m.015pxr,94
m.01brc5,101
m.01j5x6,116
m.01j009,39
m.0165gc,70
m.01bm50,115
m.018qcv,59
m.01jyxv,65
m.01m0ntx,68
m.01f8ld,112
m.01fk7r,21
m.018c42,107
m.010ryc,78
m.018x2v,79
m.01br7x,53
m.0164lp,96
m.01jfrg,117
m.014g9k,78
m.015fyd,53
m.01_81m,45
m.01m2fg,54
m.01l4lqg,75
m.01j6dk,93
m.016sm_,101
m.01jpmpv,99
m.01547g,111
m.01_6dw,108
m.017hwl,62
m.013qwy,104
m.01mqzj,93
m.01_3_s,97
m.01l50pd,82
m.01mq8m7,37
m.01bxk6,85
m.011l17,78
m.01mqs5f,51
m.01jg2n,87
m.01kdft,76
m.013834,102
m.017m9x,35
m.01_zxm,75
m.01h1d1,22
m.01l1yh,89
m.01dy7j,112
m.011hz9,47
m.015m2c,98
m.01815s,90
m.01hjjk,80
m.0150m1,101
m.014pkc,79
m.01lz09,80
m.01m1v4,88
m.01l_yj8,68
m.01lsxfr,92
m.011ct,71
m.01dxfc,94
m.01l_nd0,93
m.0191bn,87
m.01jdnm,53
m.01mh2d9,43
m.015dqz,88
m.01m_mxk,62
m.01bqmg,111
m.01b_6y,81
m.014jb8,82
m.01_xg9,85
m.013107,82
m.019jvk,97
m.01dw4q,112
m.01cn76,56
m.0198w_,82
m.01lntp,37
m.01509x,109
m.014g9y,126
m.01jmp6x,49
m.01lvfbb,78
m.011l41,58
m.01bss,85
m.01fphj,86
m.01bl0h,82
m.01dk1_,8
m.0167h6,110
m.01cw0m,78
m.018ft2,40
m.016q0w,58
m.0138b7,106
m.014vy9,57
m.01kr9l4,85
m.01lmv1f,56
m.01b3x0,98
m.01m4_yn,52
m.0122cr,73
m.01_fm9,81
m.019f9z,111
m.01k5vjs,64
m.01k321t,83
m.01k99c,17
m.01g6my,55
m.01jtkg,78
m.01lk0y,105
m.01kb30,163
m.01dhy0,77
m.01m3wtf,62
m.01cj88,123
m.012j8z,99
m.0154s9,77
m.01d0bh,88
m.017_9h,59
m.01bzr4,122
m.014_bn,56
m.01_0pj,83
m.018f2l,26
m.01m_kv,114
m.01hvnw,76
m.0171z8,70
m.01257s,100
m.01f27c,88
m.01gtr1,67
m.01900g,110
m.015v3r,90
m.0173s_,95
m.016lxg,82
m.013yf7,76
m.01bmlb,91
m.013ff1,89
m.01m4fy1,37
m.014byd,47
m.015x4b,53
m.013q78,99
m.01lv3rr,105
m.01mrfw1,77
m.017hm9,77
m.01kwh5j,60
m.01kwcy6,86
m.018462,109
m.0178sb,70
m.01kgpk,88
m.01lpl7c,35
m.015gsv,97
m.01f0p6,63
m.01_cpt,79
m.01gkm5,149
m.01lddsv,82
m.01793l,100
m.01lb3wy,59
m.01hk1r,76
m.01kqtd4,88
m.017t_d,28
m.015djp,91
m.01m6pph,55
m.01msk4,101
m.01kt9k,90
m.01d_bx,97
m.016bwn,81
m.0173wy,60
m.01csg9,58
m.01kjs67,30
m.01kycj5,96
m.01mdmhb,82
m.01lqqc,91
m.01hzy8,76
m.01m2t73,63
m.01db4k,21
m.012cwr,62
m.01j9wb,94
m.0191d5,73
m.015p0c,76
m.01knh9l,119
m.01jqrj,85
m.011kd9,73
m.017_j4,89
m.01k36g,72
m.017_f2,76
m.0122lq,93
m.01k7d9,86
m.01l4vx,97
m.017ntg,48
m.018d6l,88
m.01m114,94
m.012ysy,109
m.01_2qs,56
m.01f6nq,103
m.015x1f,31
m.01ml5_h,87
m.01hxq5,83
m.01c7qd,73
m.015511,114
m.01987n,67
m.01ldst,66
m.01jgjxv,92
m.01kdk6,66
m.01j_8l,91
m.01m0x4,92
m.013q8x,82
m.01_mtg,78
m.01gg6m,100
m.01_n9_,68
m.01ls5bp,74
m.0132sy,64
m.01l2rtn,76
m.01mrdr8,86
m.015gqm,91
m.01lzzzf,75
m.0164w8,54
m.016sp_,84
m.014zy,73
m.0173ry,85
m.01_psr,55
m.012vqh,77
m.018n52,55
m.01lhc5f,80
m.01ffvy,48
m.01knm,92
m.018p2w,92
m.01b987,97
m.01j4srb,82
m.016vqk,102
m.01dtmv,91
m.01fz36,95
m.019541,56
m.015p3p,92
m.018zxb,88
m.01ld5yf,67
m.014x4m,35
m.01c54b,107
m.01jlc2,2
m.01l3h7d,93
m.014jjj,62
m.01_pg8,96
m.01d6_w,74
m.01k74b2,26
m.01j_3k2,58
m.012c6j,99
m.019wc7,48
m.015r7d,23
m.01g42,98
m.01k47w,72
m.019mjs,25
m.0159h6,118
m.01ktx57,104
m.01mp6x1,94
m.01_6h2,49
m.01_qm8,89
m.01f7dd,114
m.01jtw12,85
m.017mhw,44
m.012yp7,50
m.012zqs,55
m.01jr3l7,61
m.01hps7,35
m.01_dcb,100
m.01kcys,54
m.01f6k6,77
m.01b794,66
m.01l9m66,59
m.01fkxr,110
m.01dmpj,81
m.01m1ppk,49
m.014d15,83
m.01g10c,86
m.01h8t_,84
m.015dqj,108
m.01dn0t,93
m.012cy5,72
m.01lqf5h,58
m.01h471,89
m.01fv23,109
m.01m0xz,10
m.01ls9m,89
m.01l2v94,93
m.01l1hr,89
m.01jzkl8,84
m.01_thm,49
m.015r1r,5
m.0181xq,93
m.01lyv8h,51
m.016cz6,68
m.01mbt5r,128
m.01mfwfc,95
m.0127gn,75
m.012ykt,117
m.01cxjr,58
m.0127s7,107
m.018gv8,46
m.01k69k,52
m.01khtk,79
m.0164gr,57
m.018477,92
m.0194tb,118
m.01bw0n,97
m.01mt06k,75
m.01jfb19,80
m.01969m,80
m.01519n,113
m.01kdss,68
m.01mm5tj,14
m.01k5mq1,103
m.01lg1h,120
m.015302,69
m.019r3h,36
m.015520,48
m.01dh0y,97
m.01k7vt8,57
m.018dq3,80
m.01bwv4,115
m.013q3z,102
m.012w3k,86
m.01fdpj,84
m.017jh1,96
m.01dk_,81
m.01k9vc,81
m.0177yg,124
m.015r3q,92
m.012t8n,95
m.01ld_g6,43
m.01m54p,116
m.01l545,92
m.0159xc,95
m.01mqzy,53
m.015tyq,101
m.01kzphj,107
m.01mlcp6,107
m.015q36,86
m.0133kw,101
m.01lps4,16
m.01k223,85
m.01ljk0w,95
m.018xjb,84
m.018qwf,40
m.01bcq,112
m.018swb,89
m.01fhjt,71
m.0182tt,77
m.01g86n,31
m.014kbz,102
m.017h_2,74
m.01k1w_f,47
m.01htw_,98
m.0134cp,92
m.012m1s,82
m.017hjz,44
m.01l8xps,87
m.01lgdb_,82
m.01k4rx7,96
m.015qv9,62
m.01mddpy,36
m.01hgj6,20
m.016pns,100
m.016q49,94
m.017tl9,46
m.015t56,111
m.016ksk,93
m.01_wvf,97
m.01lct6,91
m.01l_vgt,102
m.01lcl9,87
m.01l_lk,66
m.01_5tx,100
m.01llxp,81
m.01lkmx6,76
m.019m2t,80
m.012xx,6
m.01js_6m,87
m.01j1l_,54
m.01_8_1,35
m.01mrs8,45
m.0159vf,46
m.01dq85,99
m.01mnfmv,42
m.01ml38h,94
m.01m55j,108
m.01g1lp,106
m.0181gp,83
m.01fwpt,110
m.01c58j,52
m.01fgj_,71
m.017nj4,80
m.015g_7,104
m.018k23,59
m.01k9gr,110
m.017hvr,33
m.013zs9,97
m.013ykk,85
m.01380_,108
m.01hhd7,89
m.01jp5fb,91
m.01ms5k,55
m.01h81s,94
m.01mfmw2,77
m.01833g,137
m.017wbg,72
m.015b1j,76
m.01gn36,109
m.012kqy,68
m.01jbrf,107
m.01_rph,108
m.01hf8_,91
m.010hnp,96
m.01mr_m6,88
m.01m1q39,70
m.015klf,105
m.01fvh5,73
m.015865,105
m.01388c,100
m.014tjj,18
m.011z2p,2
m.01kf06,103
m.01m02mz,81
m.01mq3p_,84
m.01830j,93
m.0159wm,102
m.01c_gv,36
m.019x6k,51
m.016tbr,109
m.014gs0,89
m.01l7f1,76
m.01lmlc_,42
m.01kc1nw,79
m.014d0v,104
m.01mc7k7,86
m.01mbw4p,3
m.01lqw7,116
m.01dwjy,41
m.01kpwz,90
m.017f0f,67
m.01grh,72
m.01gy3y,59
m.01gfrc,107
m.012kf7,66
m.015796,56
m.011s9r,74
m.01k15v1,72
m.016kb7,88
m.0177g,87
m.01m58q,85
m.01cwhp,109
m.01kzw8,93
m.01d4sm,66
m.014p33,114
m.0169x_,46
m.015x07,58
m.01kq4tc,29
m.01g23m,107
m.017rjs,91
m.01k2r5,87
m.01c1c7,53
m.01c3y8,76
m.01b8gp,104
m.01hy2s,87
m.01lqxdq,82
m.016cn6,88
m.015wx7,89
m.01m0nsf,64
m.015418,54
m.01lj1jb,77
m.01kfbgq,86
m.01lbz_w,73
m.01b7cy,63
m.01b_k6,47
m.01_2n6,105
m.01632_,77
